,mean,median,std
STRATUM,2.0585,2.0,0.619895059620958
REGION,2.656,3.0,1.0450885632579308
PJ,2228.787,1750.0,1600.5531465147944
PSU_VAR,56.912,55.0,38.53383817298987
URBANICITY,1.1625,1.0,0.36900112589998657
VE_TOTAL,1.076,1.0,0.3380549372073793
VE_FORMS,1.042,1.0,0.2329444817242574
PVH_INVL,0.034,0.0,0.24469151388735214
PEDS,1.0455,1.0,0.2578041533620926
PERMVIT,1.263,1.0,0.7308201208399453
PERNOTMVIT,1.0555,1.0,0.30243260859465976
NUM_INJ,1.0935,1.0,0.3947602662805832
MONTH,6.9215,7.0,3.4170419719281995
YEARNAME,2020.983,2021.0,1.4250355655848002
DAY_WEEK,4.12,4.0,2.105425469638881
HOUR,15.7135,20.0,8.77535875110558
MINUTE,27.731,28.0,17.89009968763217
HARM_EV,8.491,8.0,1.5893967695467115
ALCOHOL,6.0485,9.0,3.5938288151741995
MAX_SEV,2.2455,2.0,1.015748799069635
MAN_COLL,0.0765,0.0,0.6417582697857652
RELJCT1,1.1825,0.0,2.797160310547368
RELJCT2,7.3145,2.0,20.987206130416226
TYP_INT,6.262,1.0,20.732444938708227
WRK_ZONE,0.007,0.0,0.14819575226873155
REL_ROAD,1.178,1.0,0.8869663774221312
LGT_COND,2.754,3.0,0.4822865332456163
WEATHER1,1.5565,0.0,10.320565138711698
WEATHER2,0.013,0.0,0.32539812840731813
WEATHER,5.1865,1.0,16.06240075795192
