feature,shap_importance
POOR_LIGHTING,0.15903260689432108
ADVERSE_WEATHER,0.1147079511951511
IS_NIGHT,0.07233869870588688
NIGHT_AND_DARK,0.02343870063449891
LGTCON_IM,0.021993027540583972
LGT_COND,0.020315393308124204
WEATHR_IM,0.01798634928991634
HOUR_IM,0.012090888712505198
WEATHER,0.012039222492392794
ADVERSE_CONDITIONS,0.01073070140557225
HOUR,0.008735875710197544
IS_RUSH_HOUR,0.004492312314579166
WEATHER1,0.003497869880552206
WEEKEND_NIGHT,0.0027325286263094046
PSUSTRAT,0.0011842551682409354
MAX_SEV,0.0011669401183879826
PJ,0.0011232920664746172
PSU_VAR,0.0011054296544110562
MINUTE_IM,0.0010392685686362254
MINUTE_IMNAME,0.000989709784724061
MONTH,0.0009504041389305848
MINUTE,0.0009305218747311824
YEARNAME,0.0009157259828088322
max_vru_injury,0.0008290012642674891
MAXSEV_IM,0.0008192495607834903
pedestrian_count,0.0007858608161151708
TYP_INT,0.000765067058211778
RELJCT2,0.0007441980470328908
HARM_EV,0.0006830452813547237
RELJCT1,0.0006760678755040738
RELJCT2_IM,0.0006628632643064288
cyclist_count,0.0006604121238416705
WKDY_IM,0.0006010226101861431
WEIGHT,0.0005624372797434517
EVENT1_IM,0.0005591301172154813
ALCOHOL,0.0005370127186963669
IS_WEEKEND,0.0005335417042253158
REGION,0.0005106801518852902
DAY_WEEK,0.00045820195115474913
HAS_TRAFFIC_SIGNAL,0.0003989725499797759
PERMVIT,0.00038102453489699545
REL_ROAD,0.0003369196558294887
NO_INJ_IM,0.000323860008825295
ALCHL_IM,0.0003111090134522085
STRATUM,0.0002479473510138773
fatal_vru,0.0002433935545799158
CF1,0.0002335592305928268
URBANICITY,0.0001972496297733649
PERNOTMVIT,0.00016622191712696252
MAN_COLL,0.0001477285148390949
PVH_INVL,0.00014528475624820701
VE_TOTAL,0.00013708804501053805
NUM_INJ,0.00013133339819319762
CF2,0.0001282513832704351
MANCOL_IM,0.00011074118469768988
total_vru,0.00010962655049558474
PEDS,9.866526964929742e-05
VE_FORMS,9.395010421330212e-05
INT_HWY,9.208109769523812e-05
WRK_ZONE,3.482200676029255e-05
WEATHER2,2.7445050527080985e-05
RELJCT1_IM,2.4819401133119486e-05
SCH_BUS,1.967574286244897e-05
CF3,1.3254784400006087e-05
